NDVI1995,NDVI2000,NDVI2005,NDVI2011,NDVI2016,NDVI2020,NDVI2023,LULC1995,LULC2000,LULC2005,LULC2011,LULC2016,LULC2020,LULC2023,TMAX1990,TMAX1995,TMAX2000,TMAX2005,TMAX2011,TMAX2016,TMAX2020,TMAX2021,TMIN1990,TMIN1995,TMIN2000,TMIN2005,TMIN2011,TMIN2016,TMIN2020,TMIN2021,Prec1995,Prec2000,Prec2005,Prec2011,Prec2016,Prec2020,Prec2023,BSI1995,BSI2000,BSI2005,BSI2011,BSI2016,BSI2020,BSI2021,SMI2016,SMI2020,SMI2021
1.697046001,3.064807837,2.211722344,1.925104629,1.901135767,1.087780403,1.715671706,2,1,1,1,1,1,1,-1.912530377,-1.90686832,-1.898622738,-1.891405124,-1.914007754,-1.966065674,-1.88909114,-1.941209684,-1.812087691,-1.81870411,-1.79733907,-1.787930074,-1.796686729,-1.844654841,-1.825642096,-1.843538689,1.954954357,1.953384134,2.099021843,1.621404531,2.022828811,2.063314496,1.784724797,0.088008,0.032227,-0.141004,-0.01955,-0.072287,-0.070028,-0.092867,24.17198,22.41213,4.888096
2.900623933,3.72410171,2.904353113,2.272195508,2.452048509,1.751887247,2.696971833,2,2,2,2,2,2,2,-2.372179907,-2.370021934,-2.362878804,-2.366079789,-2.378363632,-2.434119111,-2.391529652,-2.403100937,-1.948314276,-1.954954146,-1.94224534,-1.929042849,-1.930967779,-1.982110994,-1.98558248,-1.987634622,2.009855197,1.941902799,2.125870467,1.587698885,2.068169558,2.134601663,1.776965377,-0.037917,-0.084632,-0.085221,-0.276573,-0.134022,-0.290558,-0.207626,24.17198,22.41213,4.888096
3.397203805,4.025228009,3.306951188,2.547171638,2.862798877,2.212388934,3.122354248,2,2,2,2,2,2,2,-2.649704187,-2.649662045,-2.643184547,-2.651330113,-2.65872948,-2.715817853,-2.694369302,-2.683229514,-2.027359399,-2.034012876,-2.02332371,-2.002958929,-2.015323754,-2.065925506,-2.075436444,-2.069735688,2.611938827,2.62567908,2.658470532,2.373720327,2.483973574,2.576890059,2.194456972,0.059117,-0.027025,-0.219662,-0.126052,-0.059639,-0.130027,-0.050175,23.46437,23.19656,8.275005
1.13106234,0.917256449,1.61257401,1.310514744,1.708471156,1.387642709,1.104138518,1,1,1,1,1,1,1,-2.892537768,-2.898716441,-2.888451908,-2.903152911,-2.904049433,-2.965012883,-2.962795356,-2.931282309,-2.07276826,-2.076065289,-2.073350943,-2.056716244,-2.063527139,-2.114538067,-2.134740155,-2.121677356,3.349895668,3.135319213,3.217057724,3.095159629,3.060889974,3.197827523,2.874551108,-0.022213,-0.108304,-0.063857,-0.223169,-0.095913,-0.13785,-0.172845,11.22041,17.46118,6.877266
2.532620621,3.44895824,2.815244708,1.738623076,2.132366146,1.623298153,2.128970672,2,2,2,2,2,2,2,-1.645846973,-1.633782272,-1.622696858,-1.612840091,-1.635832438,-1.714703556,-1.645901816,-1.697433746,-1.606906841,-1.611805907,-1.595505338,-1.589700089,-1.584935842,-1.650204996,-1.644136727,-1.660905623,3.349895668,3.135319213,3.217057724,3.095159629,3.060889974,3.197827523,2.874551108,0.035612,-0.01965,-0.143261,-0.239357,-0.225341,-0.266305,-0.184219,6.563953,18.28884,5.349922
2.24911626,1.160607647,2.387304197,1.541378128,1.279889619,0.918282153,0.645891308,1,1,1,1,1,1,4,-0.514068626,-0.497744764,-0.477385295,-0.451781317,-0.494656091,-0.594409072,-0.459779667,-0.591888565,-0.845047051,-0.849814963,-0.812321316,-0.825339361,-0.803351132,-0.889167878,-0.837246982,-0.908591092,2.035926982,2.152643761,2.33854969,2.120167178,2.241506786,2.282904303,1.885247364,-0.119789,0.001152,-0.0915,-0.227044,-0.088715,-0.235281,-0.210874,6.563953,18.28884,5.349922
2.427424585,2.987878554,3.105816104,1.281608157,1.467838355,0.659504374,1.947645985,2,2,2,2,1,1,1,-1.461553651,-1.445899044,-1.445315936,-1.430101577,-1.464984553,-1.495845149,-1.3614159,-1.472903276,-1.625406815,-1.640401661,-1.61103101,-1.598099726,-1.602151293,-1.651881222,-1.590224262,-1.644150357,2.67650779,3.052098886,2.70603163,2.565081748,2.750773854,2.800558624,3.324304519,-0.135798,-0.218793,-0.242948,-0.274127,-0.293562,-0.366148,-0.33728,6.563953,18.28884,5.349922
1.90382098,1.292594162,2.176331938,1.77790947,2.243846147,1.745499509,1.769956058,1,1,2,1,2,2,2,-1.587306714,-1.574795705,-1.576709212,-1.561584053,-1.596406003,-1.634527822,-1.503658858,-1.605483258,-1.690997393,-1.704321296,-1.676583708,-1.663616372,-1.669291818,-1.718932872,-1.663904702,-1.711171623,2.67650779,3.052098886,2.70603163,2.565081748,2.750773854,2.800558624,3.324304519,0.041638,-0.031498,0.028853,-0.269652,-0.207618,-0.241322,-0.234321,2.531949,16.06854,3.073303
0.760976261,0.313013013,1.583495791,1.112508343,1.171189873,0.815424695,0.623596492,1,1,1,1,1,1,1,-1.652351447,-1.642520935,-1.640215787,-1.628439639,-1.662116728,-1.699535244,-1.574780199,-1.667496521,-1.72295171,-1.73291705,-1.709360264,-1.693854824,-1.700279752,-1.752458797,-1.699846417,-1.739655757,2.588784517,2.868803479,2.558147784,2.220004846,2.661535764,2.716286849,3.055739048,-0.006051,-0.079557,-0.003676,-0.294893,-0.227951,-0.236786,-0.27007,2.531949,16.06854,3.073303
0.406847178,0.373274964,1.229661995,1.099804101,0.843078763,0.803201902,0.387938828,1,1,4,1,1,1,1,-1.697882759,-1.688399377,-1.681823832,-1.670781689,-1.703733433,-1.747207267,-1.625253658,-1.710264058,-1.739769941,-1.746373911,-1.721435717,-1.712333945,-1.719216892,-1.769221659,-1.716020157,-1.753059889,2.144147791,2.563095118,2.436722818,2.072466214,2.619627214,2.603098018,2.81960423,0.049729,0.072727,-0.114686,-0.44294,-0.097234,-0.22789,-0.072783,2.531949,16.06854,3.073303
